Time,ECG,Stethoscope
0.935,-0.0721932,-0.00542295
0.94,-0.0763486,-0.00304013
0.945,-0.0805744,-0.00154778
0.95,-0.0846552,0.000376588
0.955,-0.0892602,0.000782847
0.96,-0.0947193,-0.00287702
0.965,-0.100141,-0.00555449
0.97,-0.104585,-0.0019857
0.975,-0.10943,-0.00261224
0.98,-0.116043,-0.00528626
0.985,-0.123001,-0.00557004
0.99,-0.127983,-0.00496633
0.995,-0.130804,-0.00495207
1,-0.133327,-0.00762986
1.005,-0.136367,-0.00655097
1.01,-0.13872,-0.00289997
1.015,-0.139781,-0.00260162
1.02,-0.14068,-0.00181308
1.025,-0.142487,0.000636856
1.03,-0.144907,-0.001064
1.035,-0.147152,-0.00145466
1.04,-0.149062,-0.00242585
1.045,-0.150365,-0.00240668
1.05,-0.150576,-0.00428652
1.055,-0.15035,-0.00140081
1.06,-0.15075,-0.00250293
1.065,-0.151553,-0.00335768
1.07,-0.152282,-0.00477667
1.075,-0.154176,-0.00519268
1.08,-0.159221,-0.00290426
1.085,-0.166529,-0.00274302
1.09,-0.172841,-0.00370428
1.095,-0.176316,-0.00196604
1.1,-0.178229,-0.00248936
1.105,-0.179973,-0.00402816
1.11,-0.181222,-0.00588168
1.115,-0.181967,-0.00323898
1.12,-0.183359,-0.00625866
1.125,-0.185673,-0.00422973
1.13,-0.187487,-0.00284593
1.135,-0.188315,0.00163545
1.14,-0.189157,-0.000308812
1.145,-0.190422,-0.00261664
1.15,-0.191467,-0.003496
1.155,-0.192746,-0.00304212
1.16,-0.195217,-0.00491514
1.165,-0.198621,-0.00312287
1.17,-0.200805,-0.00337313
1.175,-0.20112,-0.00755223
1.18,-0.201536,-0.0054933
1.185,-0.202171,-0.00200879
1.19,-0.199126,-0.00152216
1.195,-0.18914,0.000168601
1.2,-0.1743,-0.00404953
1.205,-0.159485,-0.00422851
1.21,-0.14713,-0.0042087
1.215,-0.135514,-0.00177571
1.22,-0.120779,-0.00176875
1.225,-0.0989255,-0.00235559
1.23,-0.0689368,-0.00367691
1.235,-0.0350781,-0.00455666
1.24,-0.00607235,-0.00220368
1.245,0.0122134,-0.00262397
1.25,0.0202787,-0.00822679
1.255,0.0200527,-0.00343408
1.26,0.00979713,0.000277322
1.265,-0.0133136,-0.000136277
1.27,-0.0482445,-0.00481366
1.275,-0.090765,-0.0046727
1.28,-0.135796,-0.00117936
1.285,-0.17791,-0.00370594
1.29,-0.211999,-0.00340592
1.295,-0.236764,-0.0037452
1.3,-0.254809,-0.00501251
1.305,-0.268335,-0.00562569
1.31,-0.277688,-0.00295438
1.315,-0.284297,-0.00159304
1.32,-0.291048,-0.00170472
1.325,-0.29859,-0.00243768
1.33,-0.304746,-0.00205711
1.335,-0.30866,-0.000540718
1.34,-0.311691,-0.0025859
1.345,-0.314205,-0.00415358
1.35,-0.314896,-0.00499092
1.355,-0.313672,-0.00311972
1.36,-0.312042,-0.00581095
1.365,-0.31362,-0.00317786
1.37,-0.32461,-0.00459697
1.375,-0.346545,-0.00247016
1.38,-0.357812,-0.00411005
1.385,-0.314036,-0.00717021
1.39,-0.163753,-0.00564425
1.395,0.122749,-0.00287013
1.4,0.500264,-0.00802397
1.405,0.854414,-0.00495728
1.41,1.07548,0.0110794
1.415,1.11272,0.0142388
1.42,0.983845,-0.00060131
1.425,0.756276,-0.00200321
1.43,0.507569,0.000199072
1.435,0.292658,-0.0283668
1.44,0.13271,-0.0342121
1.445,0.0252098,-0.00585719
1.45,-0.0421768,0.00262131
1.455,-0.0839578,0.0118521
1.46,-0.112223,0.0251436
1.465,-0.133231,0.00911804
1.47,-0.147501,-0.0122407
1.475,-0.155223,-0.0159538
1.48,-0.158541,-0.00885869
1.485,-0.158999,0.00221404
1.49,-0.15649,0.00210433
1.495,-0.151677,-0.00329362
1.5,-0.145905,-0.00515438
1.505,-0.13891,-0.0046838
1.51,-0.12963,-0.00579126
1.515,-0.118451,-0.00329387
1.52,-0.106729,-0.00217532
1.525,-0.0950949,-0.00374378
1.53,-0.0828644,-0.00373846
1.535,-0.0693252,-0.0116336
1.54,-0.0547507,-0.010181
1.545,-0.0388611,-0.00865299
1.55,-0.0202543,-0.00432122
1.555,0.00139355,-0.00223833
1.56,0.0243869,-0.00151924
1.565,0.0479837,0.00603165
1.57,0.0726692,0.0057858
1.575,0.0988599,0.00427485
1.58,0.125053,-0.000538408
1.585,0.150301,-0.004574
1.59,0.175367,-0.00490977
1.595,0.199141,-0.00987209
1.6,0.219344,-0.00929071
1.605,0.235258,-0.00302211
1.61,0.24768,-0.00396214
1.615,0.256203,-0.00613837
1.62,0.258007,-0.00376407
1.625,0.25037,-0.00553537
1.63,0.232903,-0.00553347
1.635,0.205254,-0.000283473
1.64,0.167225,0.00115219
1.645,0.121463,0.00391898
1.65,0.0724987,0.00261557
1.655,0.0239675,-0.00385946
1.66,-0.0221852,-0.00566916
1.665,-0.0639974,-0.00813747
1.67,-0.0995104,-0.00670327
1.675,-0.128207,-0.00129131
1.68,-0.151422,-0.00328863
1.685,-0.169655,0.000494507
1.69,-0.182765,-0.00224644
1.695,-0.191621,-0.00614408
1.7,-0.198539,-0.00562846
1.705,-0.204726,-0.00517715
1.71,-0.208829,-0.00669213
1.715,-0.210554,-0.00363484
1.72,-0.211507,-0.00242632
1.725,-0.21259,-0.00135662
1.73,-0.212518,0.00039437
1.735,-0.21091,0.0022019
1.74,-0.209919,0.00824359
1.745,-0.210322,-0.0167459
1.75,-0.209856,-0.0317879
1.755,-0.207313,0.0245807
1.76,-0.204371,0.00198612
1.765,-0.201843,-3.46E-05
1.77,-0.198438,0.00235706
1.775,-0.193913,-0.0105164
1.78,-0.190497,-0.0131027
1.785,-0.189245,-0.00779762
1.79,-0.187525,-0.00121864
1.795,-0.183809,-0.00478674
1.8,-0.179445,-0.00493125
1.805,-0.175318,0.000510536
1.81,-0.170829,0.00218754
1.815,-0.166229,-0.00408079
1.82,-0.16269,-0.00775057
1.825,-0.159784,-0.00414154
1.83,-0.15586,-0.00146266
1.835,-0.151423,-0.00120274
1.84,-0.148172,0.00119141
1.845,-0.145723,-0.00235151
1.85,-0.142094,-0.002443
1.855,-0.137528,-0.00275269
1.86,-0.133562,-0.00118855
1.865,-0.13112,-0.00390294
1.87,-0.129183,-0.00765142
1.875,-0.126963,-0.00900165
1.88,-0.125268,-0.00855526
1.885,-0.124108,-0.0077753
1.89,-0.122814,-0.00375337
1.895,-0.121754,-0.00390618
1.9,-0.121628,-0.00357439
1.905,-0.122093,0.00403755
1.91,-0.121774,0.0039248
1.915,-0.119945,0.00100225
1.92,-0.117574,-0.00261018
1.925,-0.116197,-0.00196922
1.93,-0.115623,-0.00144161
1.935,-0.114739,-0.00554962
1.94,-0.113726,-0.00595832
1.945,-0.112233,-0.00438183
1.95,-0.10894,-0.00305673
1.955,-0.104272,-0.00346942
1.96,-0.10046,-0.00263237
1.965,-0.0979738,-0.00510502
1.97,-0.0953328,-0.00483049
1.975,-0.0924738,-0.00217548
1.98,-0.0904305,-0.00270587
1.985,-0.0887436,-0.00248516
1.99,-0.0859483,-0.00198468
1.995,-0.0824065,-0.00396779
2,-0.0799099,-0.00594274
2.005,-0.0778979,-0.0051783
2.01,-0.0742472,-0.00598541
2.015,-0.0694829,-0.0035111
2.02,-0.0664921,-0.00143912
2.025,-0.0662289,-0.00231395
2.03,-0.0662955,-0.00118732
2.035,-0.0641612,-0.00277237
2.04,-0.060226,-0.00378091
2.045,-0.0557592,-0.0019665
2.05,-0.0507943,-0.00323818
2.055,-0.0454881,-0.00276467
2.06,-0.0413823,-0.000735308
2.065,-0.0387981,-0.00237946
2.07,-0.0361668,-0.00414176
2.075,-0.0329893,-0.00453796
2.08,-0.0303174,-0.00415357
2.085,-0.028573,-0.00297483
2.09,-0.0267661,-0.00047609
2.095,-0.0243672,-0.00325737
2.1,-0.0224777,-0.0042506
2.105,-0.021203,-0.00232371
2.11,-0.0188506,-0.00442011
2.115,-0.0147436,-0.00263528
2.12,-0.00988269,-0.00274752
2.125,-0.00497322,-0.00295339
2.13,-0.00044157,-0.00239431
2.135,0.00297603,-0.00550237
2.14,0.00428677,-0.0060462
2.145,0.00368927,-0.00357737
2.15,0.00345801,-0.00302172
2.155,0.00573527,-0.00291889
2.16,0.0124954,-0.00585087
2.165,0.0243615,-0.00527222
2.17,0.0398577,-0.000337876
2.175,0.0553754,-0.00221133
2.18,0.0682607,-0.00263257
2.185,0.0808898,-0.0048444
2.19,0.0994976,-0.00351244
2.195,0.127669,-0.00203645
2.2,0.162683,-0.00221912
2.205,0.198266,-0.000731512
2.21,0.227928,-0.00369262
2.215,0.247384,-0.00096186
2.22,0.255799,-0.00325439
2.225,0.25404,-0.00479984
2.23,0.242546,-0.00452252
2.235,0.219724,-0.00345515
2.24,0.184484,-0.00444882
2.245,0.140772,-0.00440806
2.25,0.096932,-0.00201081
2.255,0.0601212,-0.000847789
2.26,0.0321536,-0.00401757
2.265,0.0113534,-0.00410332
2.27,-0.0038488,-0.00324548
2.275,-0.0152717,-0.00552799
2.28,-0.0254422,-0.00372626
2.285,-0.0352678,-0.00372123
2.29,-0.0434248,-0.001619
2.295,-0.0492442,-0.00584676
2.3,-0.0538896,0.00433916
2.305,-0.0584861,0.00228659
2.31,-0.0614299,-0.00136557
2.315,-0.0614823,-0.00191266
2.32,-0.0600641,-0.00605293
2.325,-0.0587979,-0.00711613
2.33,-0.0578878,-0.00846445
2.335,-0.0603605,-0.00733499
2.34,-0.0750416,-0.0056628
2.345,-0.103814,-0.00664173
2.35,-0.120334,-0.00604303
2.355,-0.0760883,-0.00555739
2.36,0.0814515,0.000996198
2.365,0.384004,-0.00495059
2.37,0.786309,0.000728937
2.375,1.1663,0.00320444
2.38,1.4012,0.00862467
2.385,1.4365,0.00487352
2.39,1.29914,-0.00126183
2.395,1.0661,0.00200318
2.4,0.815435,-0.000903243
2.405,0.600065,-0.0285042
2.41,0.442442,-0.0344249
2.415,0.340076,-0.00967409
2.42,0.277706,-0.00382553
2.425,0.239719,0.017296
2.43,0.216278,0.031551
2.435,0.201847,0.014333
2.44,0.192836,-0.0144687
2.445,0.187771,-0.0207382
2.45,0.187161,-0.0112082
2.455,0.191278,0.00830222
2.46,0.198781,-0.00188992
2.465,0.208376,-0.00825626
2.47,0.219712,-0.0025384
2.475,0.232009,-0.00248927
2.48,0.244253,-0.00602825
2.485,0.257147,-0.0110397
2.49,0.271248,-0.00792044
2.495,0.285085,-4.35E-07
2.5,0.297461,0.00167976
2.505,0.308818,-0.00299622
2.51,0.321605,-0.00477925
2.515,0.337157,-0.00651743
2.52,0.354706,-0.0066947
